City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Matamoros,MX,25.5333,-103.25,77.11,45,40,0.0,scattered clouds
270,Long Xuyen,VN,10.3833,105.4167,76.95,89,100,4.25,heavy intensity rain
271,Kinkala,CG,-4.3614,14.7644,75.51,75,100,4.56,overcast clouds
272,Nang Rong,TH,14.6377,102.7914,70.21,97,100,6.82,overcast clouds
273,Saint-Augustin,CA,51.226,-58.6502,43.32,89,100,17.92,overcast clouds
274,Kropotkin,RU,45.4375,40.5756,53.4,69,12,6.46,few clouds
275,Maniitsoq,GL,65.4167,-52.9,32.5,42,0,8.66,clear sky
276,Bambous Virieux,MU,-20.3428,57.7575,73.22,78,40,12.66,scattered clouds
277,Anchorage,US,61.2181,-149.9003,41.86,76,90,3.0,overcast clouds
278,Riohacha,CO,11.5444,-72.9072,79.39,84,95,5.21,overcast clouds
279,Oranjemund,NA,-28.55,16.4333,54.86,70,0,11.68,clear sky
280,Abyek,IR,36.0667,50.55,53.2,32,0,6.91,clear sky
281,Constitucion,CL,-35.3333,-72.4167,52.97,79,0,11.01,clear sky
282,Katobu,ID,-4.9408,122.5276,87.13,62,12,4.21,few clouds
283,Odienne,CI,9.51,-7.5692,73.44,79,6,2.68,clear sky
284,Aripuana,BR,-9.1667,-60.6333,73.33,96,100,2.57,moderate rain
285,Ussel,FR,45.55,2.3167,45.12,88,93,1.3,overcast clouds
286,Mudgee,AU,-32.5943,149.5871,68.61,34,6,3.44,clear sky
287,Hasaki,JP,35.7333,140.8333,63.28,57,100,17.11,overcast clouds
288,Lompoc,US,34.6391,-120.4579,64.54,68,1,8.05,clear sky
289,Kanaya,JP,34.8167,138.1333,61.07,58,40,9.22,scattered clouds
290,Alofi,NU,-19.0595,-169.9187,84.09,61,25,18.41,light rain
291,Shambu,ET,9.5667,37.1,48.27,75,0,3.44,clear sky
292,Bratsk,RU,56.1325,101.6142,27.09,82,12,4.83,few clouds
293,Taoudenni,ML,22.6783,-3.9836,83.43,7,40,11.65,scattered clouds
294,Roma,US,43.2128,-75.4557,51.66,91,90,4.61,overcast clouds
295,Biltine,TD,14.5333,20.9167,82.36,24,8,8.72,clear sky
296,Touros,BR,-5.1989,-35.4608,77.9,79,10,12.95,clear sky
297,Korla,CN,41.7597,86.1469,50.27,34,37,7.7,scattered clouds
298,Arrecife,ES,28.963,-13.5477,75.18,50,0,8.05,clear sky
299,Ilulissat,GL,69.2167,-51.1,15.82,35,3,39.12,clear sky
300,Deputatskiy,RU,69.3,139.9,-8.64,96,65,2.3,broken clouds
301,Warwick,US,41.7001,-71.4162,56.44,80,20,6.91,few clouds
302,Sangar,RU,63.9242,127.4739,10.62,80,69,1.45,broken clouds
303,Amazar,RU,53.858,120.875,27.41,45,30,3.91,scattered clouds
304,Caravelas,BR,-17.7125,-39.2481,75.42,83,16,6.24,few clouds
305,Arambagh,IN,22.8833,87.7833,77.09,95,100,17.47,moderate rain
306,Amboasary,MG,-25.0333,46.3833,67.84,73,0,3.76,clear sky
307,Podosinovets,RU,60.2776,47.0659,38.77,85,70,9.89,broken clouds
308,Agadez,NE,19.75,10.25,83.97,29,99,8.12,overcast clouds
309,Thompson,CA,55.7435,-97.8558,46.56,66,75,3.44,broken clouds
310,Chebenki,RU,51.9337,55.7077,38.95,45,100,7.16,light rain
311,Namatanai,PG,-3.6667,152.4333,86.5,62,47,7.09,scattered clouds
312,Ayan,RU,56.45,138.1667,25.5,45,40,17.94,scattered clouds
313,Bonavista,CA,48.6499,-53.1147,43.12,93,100,11.12,overcast clouds
314,Sakakah,SA,29.9697,40.2064,69.37,31,14,7.23,few clouds
315,New Ross,IE,52.3967,-6.9367,58.08,1,100,10.38,overcast clouds
316,Fort Saint James,CA,54.4333,-124.25,36.86,78,100,2.44,overcast clouds
317,Ahipara,NZ,-35.1667,173.1667,65.37,70,3,8.01,clear sky
318,Boueni,YT,-12.9025,45.0761,78.78,76,19,12.59,few clouds
319,Wakkanai,JP,45.4094,141.6739,46.38,46,40,17.27,scattered clouds
320,Opuwo,NA,-18.0607,13.84,65.66,25,76,3.89,broken clouds
321,Bereda,ES,43.2686,-7.5406,66.15,79,100,2.84,overcast clouds
322,Brae,GB,60.3964,-1.353,48.11,75,100,15.35,overcast clouds
323,Portland,US,45.5234,-122.6762,58.98,83,75,1.99,broken clouds
324,Sai Buri,TH,6.7013,101.6168,78.51,85,100,4.83,overcast clouds
325,Vilhena,BR,-12.7406,-60.1458,69.85,93,100,2.86,overcast clouds
326,Kushmurun,KZ,52.4503,64.6311,44.98,52,97,8.5,overcast clouds
327,Koslan,RU,63.4564,48.8989,36.45,82,100,10.87,overcast clouds
328,Prokopyevsk,RU,53.9059,86.719,33.3,88,6,4.59,clear sky
329,Bang Saphan,TH,11.2126,99.5117,78.75,95,100,2.75,light rain
330,Khandyga,RU,62.6667,135.6,6.96,76,59,2.06,broken clouds
331,Ternate,ID,0.8,127.4,85.42,68,9,1.79,clear sky
332,Ancona,IT,43.55,13.1667,55.67,59,0,4.0,clear sky
333,Vanimo,PG,-2.6741,141.3028,86.94,64,41,8.16,scattered clouds
334,Nichinan,JP,31.6,131.3667,65.88,57,100,11.41,overcast clouds
335,Atar,MR,20.5169,-13.0499,87.58,10,100,4.23,overcast clouds
336,Acapulco,MX,16.8634,-99.8901,84.02,84,40,8.05,scattered clouds
337,Pueblo,US,38.2545,-104.6091,68.58,30,1,10.36,clear sky
338,Fort Frances,CA,48.5999,-93.4003,49.05,76,1,0.0,clear sky
339,Wattegama,LK,6.7989,81.4808,79.72,71,22,2.28,few clouds
340,Wangkui,CN,46.8333,126.5,34.57,36,16,8.25,few clouds
341,Kokstad,ZA,-30.5472,29.4241,42.24,91,91,3.53,overcast clouds
342,Port Blair,IN,11.6667,92.75,80.64,89,75,1.14,mist
343,Helensburgh,GB,56.0061,-4.7265,56.25,99,100,2.84,overcast clouds
344,Thinadhoo,MV,0.5333,72.9333,82.38,76,97,14.14,overcast clouds
345,Jiblah,YE,13.9216,44.1467,60.91,55,100,3.76,overcast clouds
346,Sadri,IN,25.1833,73.4333,74.14,64,79,3.15,broken clouds
347,Solnechnyy,RU,50.7214,136.6319,26.94,48,97,3.22,overcast clouds
